name,gas-name,temperature,pressure,gas-critical-temperature,gas-critical-pressure,gas-acentric-factor,gas-molar-mass,target-value
DB0-m3_o45_o15_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.118300433
DB0-m3_o152_o15_f0_fsc.sym.22,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.119051975
DB12-MIMVEJ_freeONLY,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.120284149
DB12-MIMVEJ_clean,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.120544051
DB0-m3_o1490_o15_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.121061541
DB0-m3_o51_o15_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.121597488
DB0-m3_o153_o14_f0_fsc.sym.62,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.121845854
DB0-m3_o1480_o15_f0_fsc.sym.16,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.124147641
DB5-hypotheticalMOF_36346_0_0_2_16_2_12,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.12443835
DB0-m3_o1480_o15_f0_fsc.sym.17,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.125948404
DB0-m3_o152_o15_f0_fsc.sym.16,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.126327394
DB0-m3_o45_o15_f0_fsc.sym.26,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.127586889
DB0-m3_o1490_o15_f0_fsc.sym.15,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.129771301
DB0-m3_o1480_o15_f0_fsc.sym.21,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.1328963
DB0-m3_o1490_o15_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.133385118
DB0-m3_o47_o15_f0_fsc.sym.22,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.13430386
DB0-m3_o44_o15_f0_fsc.sym.16,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.135783338
DB0-m3_o49_o14_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.136404178
DB0-m3_o1530_o15_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.141059977
DB1-Al2O6-ADC_B-fum_B_No47,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.143870338
DB1-Al2O6-ADC_B-fum_B_No223,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.144593124
DB0-m3_o150_o15_f0_fsc.sym.44,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.146693386
DB1-Al2O6-ADC_B-fum_B_No149,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.147758427
DB0-m3_o470_o15_f0_fsc.sym.17,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.148204995
DB1-Al2O6-ADC_B-fum_B_No97,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.148733218
DB0-m3_o45_o15_f0_fsc.sym.18,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.155041399
DB0-m3_o47_o15_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.157706731
DB0-m3_o490_o15_f0_fsc.sym.4,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.164568354
DB0-m3_o1490_o15_f0_fsc.sym.18,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.164794127
DB0-m3_o490_o15_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.168589813
DB0-m3_o1520_o15_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.170715198
DB0-m3_o152_o15_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.175956638
DB0-m3_o1470_o15_f0_fsc.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.191044065
DB1-Al2O6-ADC_B-fum_B_No83,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.20139164
DB1-Al2O6-ADC_B-fum_B_No11,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.204834041
DB5-hypotheticalMOF_33053_0_0_2_0_25_3,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.005889676
DB1-AlO6-mofHTB_No11,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008003055
DB0-m3_o1_o7_f0_nbo.sym.79,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008255775
DB0-m9_o2_o2_f0_sra.sym.42,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008290134
DB1-AlO6-mof200_No4,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.00862649
DB12-EPONAA_clean,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008647117
DB0-m9_o13_o20_f0_sra.sym.96,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008736219
DB0-m3_o25_o146_f0_fsc.sym.26,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008827079
DB1-AlO6-mofHTB_No12,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.008842695
DB0-m2_o1_o9_f0_nbo.sym.104,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.009430476
DB1-AlO6-ADC_A_No4,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.009517536
DB0-m2_o24_o24_f0_nbo.sym.15,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.009566316
DB5-hypotheticalMOF_5060248_2_1_2_12_12_0,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.009838916
DB0-m2_o10_kto,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.00993168
DB5-hypotheticalMOF_5024843_2_0_0_27_16_1,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018413482
DB0-m2_o14_o20_f0_nbo.sym.99,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018413631
DB6-cuf_7523,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018418858
DB7-ddmof_6678,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018418898
DB5-hypotheticalMOF_5018595_0_0_0_19_12_10,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018421731
DB5-hypotheticalMOF_5017164_2_0_0_19_25_6,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018426949
DB0-m3_o9_o23_f0_nbo.sym.68,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018427037
DB0-m2_o11_o28_f0_nbo.sym.55,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018431294
DB0-m2_o5_o27_f0_nbo.sym.12,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018434036
DB0-m3_o21_o26_f0_pcu.sym.2,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.01843422
DB0-m2_o11_o28_f0_nbo.sym.35,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018434325
DB0-m3_o2_o22_f0_pcu.sym.17,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018435324
DB0-m3_o6_o28_f0_pcu.sym.82,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018437779
DB15-pcu_N65_E225_opt,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.01844268
DB0-m2_o14_o25_f0_nbo.sym.10,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018444103
DB1-Zn2O8N2-ADC_A-DPAC_A_No17,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018451129
DB1-Zn2O8N2-DPAC_A-irmof20_A_No541,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.018452889
DB7-ddmof_18374,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.01845298
DB0-m2_o11_o24_f0_pcu.sym.84,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031148857
DB1-Cu2O8N2-BDC_A-DPAC_A_No551,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031160563
DB0-m3_o24_o52_f0_fsc.sym.14,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.03116738
DB0-m2_o16_o29_f0_pcu.sym.3,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031178964
DB0-m3_o24_o52_f0_fsc.sym.1,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031180635
DB0-m1_o41_o20_fsc,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031181509
DB0-m3_o93_o23_f0_fsc.sym.9,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031189001
DB0-m3_o7_o15_f0_pcu.sym.35,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031198162
DB0-m2_o16_o28_f0_pcu.sym.104,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.03121461
DB0-m3_o96_o23_f0_fsc.sym.8,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031222092
DB0-m3_o25_o115_f0_fsc.sym.41,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031233894
DB5-hypotheticalMOF_5036689_1_1_1_18_24_0,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031236427
DB0-m9_o3_o25_f0_sra.sym.58,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031248369
DB0-m2_o11_o18_f0_pcu.sym.6,CH4,298.15,5,190.56,4.5992,0.0115,16.043,0.031258185
